news,value
"Пентагон пока не комментирует взрыв на Крымском мосту
",0.0
"СКР возбудил уголовное дело после перестрелки с полицейскими в Москве
",0.0
"В Белоруссии возбудили первое уголовное дело о повышении цен после моратория Лукашенко
",0.0
"Япония по-прежнему считает «Сахалин-1» важным проектом для страны
",0.0
"МИД РФ: недостатка в посреднических услугах нет, мы от них не отказываемся
",0.0
"Минск вручил ноту украинскому послу за планы «нанесения удара по Белоруссии»
",0.0
"МИД РФ считает ДНР, ЛНР, Херсонскую и Запорожскую области частью Союзного государства
",0.0
"В Москве мужчина выстрелил в полицейских и был ранен ответным огнем
",0.0
"Норвегия ожидает четырехкратного роста нефтегазовых доходов по итогам года
",0.0
"Премьер Эстонии: Европе все сложнее вводить новые санкции
",0.0
"Толстой: придется вколотить Украину в XVIII век, после победы все восстановим
",0.0
"Квят финишировал 15-м в дебютной гонке во втором дивизионе NASCAR
",0.0
"Путин заявил о готовности РФ помогать беднейшим странам в продовольственных проблемах
",0.0
"Кадыров и Пригожин поддержали назначение Суровикина командующим войсками военной операции
",0.0
"ФАС не зафиксировала ажиотажа и роста цен на топливо в Крыму
",0.0
"Milliyet: Турция хочет организовать переговоры РФ с Западом по Украине
",0.0
"Главные анонсы 10–16 октября
",0.0
"Минтранс сообщил о стабильной работе паромной переправы в Крым
",0.0
"Германия пообещала Украине 100 танков из Греции и Словакии
",0.0
"Главные новости к утру 9 октября
",0.0
"Пентагон пока не комментирует взрыв на Крымском мосту
",0.0
"СКР возбудил уголовное дело после перестрелки с полицейскими в Москве
",0.0
"В Белоруссии возбудили первое уголовное дело о повышении цен после моратория Лукашенко
",0.0
"Япония по-прежнему считает «Сахалин-1» важным проектом для страны
",0.0
"МИД РФ: недостатка в посреднических услугах нет, мы от них не отказываемся
",0.0
"Минск вручил ноту украинскому послу за планы «нанесения удара по Белоруссии»
",0.0
"МИД РФ считает ДНР, ЛНР, Херсонскую и Запорожскую области частью Союзного государства
",0.0
"В Москве мужчина выстрелил в полицейских и был ранен ответным огнем
",0.0
"Норвегия ожидает четырехкратного роста нефтегазовых доходов по итогам года
",0.0
"Премьер Эстонии: Европе все сложнее вводить новые санкции
",0.0
"Толстой: придется вколотить Украину в XVIII век, после победы все восстановим
",0.0
"Квят финишировал 15-м в дебютной гонке во втором дивизионе NASCAR
",0.0
"Путин заявил о готовности РФ помогать беднейшим странам в продовольственных проблемах
",0.0
"Кадыров и Пригожин поддержали назначение Суровикина командующим войсками военной операции
",0.0
"ФАС не зафиксировала ажиотажа и роста цен на топливо в Крыму
",0.0
"Milliyet: Турция хочет организовать переговоры РФ с Западом по Украине
",0.0
"Главные анонсы 10–16 октября
",0.0
"Минтранс сообщил о стабильной работе паромной переправы в Крым
",0.0
"Германия пообещала Украине 100 танков из Греции и Словакии
",0.0
"Главные новости к утру 9 октября
",0.0
"Пентагон пока не комментирует взрыв на Крымском мосту
",0.0
"СКР возбудил уголовное дело после перестрелки с полицейскими в Москве
",0.0
"В Белоруссии возбудили первое уголовное дело о повышении цен после моратория Лукашенко
",0.0
"Япония по-прежнему считает «Сахалин-1» важным проектом для страны
",0.0
"МИД РФ: недостатка в посреднических услугах нет, мы от них не отказываемся
",0.0
"Минск вручил ноту украинскому послу за планы «нанесения удара по Белоруссии»
",0.0
"МИД РФ считает ДНР, ЛНР, Херсонскую и Запорожскую области частью Союзного государства
",0.0
"В Москве мужчина выстрелил в полицейских и был ранен ответным огнем
",0.0
"Норвегия ожидает четырехкратного роста нефтегазовых доходов по итогам года
",0.0
"Премьер Эстонии: Европе все сложнее вводить новые санкции
",0.0
"Толстой: придется вколотить Украину в XVIII век, после победы все восстановим
",0.0
"Квят финишировал 15-м в дебютной гонке во втором дивизионе NASCAR
",0.0
"Путин заявил о готовности РФ помогать беднейшим странам в продовольственных проблемах
",0.0
"Кадыров и Пригожин поддержали назначение Суровикина командующим войсками военной операции
",0.0
"ФАС не зафиксировала ажиотажа и роста цен на топливо в Крыму
",0.0
"Milliyet: Турция хочет организовать переговоры РФ с Западом по Украине
",0.0
"Главные анонсы 10–16 октября
",0.0
"Минтранс сообщил о стабильной работе паромной переправы в Крым
",0.0
"Германия пообещала Украине 100 танков из Греции и Словакии
",0.0
"Главные новости к утру 9 октября
",0.0
"Пентагон пока не комментирует взрыв на Крымском мосту
",0.0
"СКР возбудил уголовное дело после перестрелки с полицейскими в Москве
",0.0
"В Белоруссии возбудили первое уголовное дело о повышении цен после моратория Лукашенко
",0.0
"Япония по-прежнему считает «Сахалин-1» важным проектом для страны
",0.0
"МИД РФ: недостатка в посреднических услугах нет, мы от них не отказываемся
",0.0
"Минск вручил ноту украинскому послу за планы «нанесения удара по Белоруссии»
",0.0
"МИД РФ считает ДНР, ЛНР, Херсонскую и Запорожскую области частью Союзного государства
",0.0
"В Москве мужчина выстрелил в полицейских и был ранен ответным огнем
",0.0
"Норвегия ожидает четырехкратного роста нефтегазовых доходов по итогам года
",0.0
"Премьер Эстонии: Европе все сложнее вводить новые санкции
",0.0
"Толстой: придется вколотить Украину в XVIII век, после победы все восстановим
",0.0
"Квят финишировал 15-м в дебютной гонке во втором дивизионе NASCAR
",0.0
"Путин заявил о готовности РФ помогать беднейшим странам в продовольственных проблемах
",0.0
"Кадыров и Пригожин поддержали назначение Суровикина командующим войсками военной операции
",0.0
"ФАС не зафиксировала ажиотажа и роста цен на топливо в Крыму
",0.0
"Milliyet: Турция хочет организовать переговоры РФ с Западом по Украине
",0.0
"Аваль
",1.0
"Аванс
",1.0
"Авансированные средства
",1.0
"Авизо
",1.0
"Авторский договор
",1.0
"Агент
",1.0
"Агентская операция
",1.0
"Агентский договор
",1.0
"Административная ответственность
",1.0
"Аккредитация
",1.0
"Актив
",1.0
"Активы материальные
",1.0
"Активы нематериальные
",1.0
"Акцепт
",1.0
"Акцептант (трассат)
",1.0
"Акцептная форма расчетов
",1.0
"Акцизы
",1.0
"Акции
",1.0
"Акционер
",1.0
"Акционерное общество
",1.0
"Амортизация
",1.0
"Антимонопольное законодательство
",1.0
"Апостиль
",1.0
"Арбитражный суд
",1.0
"Аренда
",1.0
"Арендатор
",1.0
"Арендная плата
",1.0
"Арендодатель
",1.0
"Арест имущества
",1.0
"Ассортимент
",1.0
"Аудит
",1.0
"Аудитор
",1.0
"Аудиторские фирмы
",1.0
"База контракта
",1.0
"Базисная цена
",1.0
"Базовая рентабельность
",1.0
"Баланс бухгалтерский
",1.0
"Баланс консолидированный
",1.0
"Балансовая стоимость
",1.0
"Банк
",1.0
"Банки уполномоченные
",1.0
"Банковские операции
",1.0
"Банковский депозит
",1.0
"Банковский кредит
",1.0
"Банковский перевод
",1.0
"Банковский чек
",1.0
"Банкротство
",1.0
"Бартер
",1.0
"Бартерная сделка
",1.0
"Безналичные расчеты
",1.0
"Бенефициар
",1.0
"Биржа
",1.0
"Биржевая котировка
",1.0
"Больничный листок (листок нетрудоспособности)
",1.0
"Бонус
",1.0
"Брак продукции
",1.0
"Брокер
",1.0
"Бухгалтерская прибыль
",1.0
"Валюта
",1.0
"Валюта замкнутая, неконвертируемая
",1.0
"Валюта клиринговая
",1.0
"Валюта конвертируемая
",1.0
"Валюта национальная
",1.0
"Валюта твердая
",1.0
"Валютная котировка
",1.0
"Валютное законодательство
",1.0
"Валютные операции
",1.0
"Валютные рынки
",1.0
"Валютные условия контракта
",1.0
"Валютные ценности
",1.0
"Валютный курс
",1.0
"Валютный опцион
",1.0
"Варрант
",1.0
"Ввозные пошлины
",1.0
"Ведомость аналитического учета
",1.0
"Ведомость оборотная
",1.0
"Векселедатель
",1.0
"Векселедержатель
",1.0
"Вексель
",1.0
"Вексель опротестованный
",1.0
"Венчурные операции
",1.0
"Верховный суд
",1.0
"Вещи недвижимые
",1.0
"Взаимозаменяемые товары
",1.0
"Взаимозачет
",1.0
"Внебалансовые счета
",1.0
"Внешнеторговые сделки
",1.0
"Внутренний аудит
",1.0
"Временные работники
",1.0
"Встречный иск
",1.0
"Вынужденный прогул
",1.0
"Выходное пособие
",1.0
"Выходные дни
",1.0
"Гарантийное обязательство
",1.0
"Гарантия
",1.0
"Гонорар авторский
",1.0
"Государственная пошлина
",1.0
"Государственная регистрация ценных бумаг
",1.0
"Государственная регистрация юридического лица
",1.0
"Государственная собственность
",1.0
"Гражданская ответственность
",1.0
"Гражданский иск
",1.0
"Гражданский процесс
",1.0
"Гражданство
",1.0
"Грузоотправитель
",1.0
"Грузополучатель
",1.0
"Гудвилл
",1.0
"Давальческое сырье
",1.0
"Давность исковая
",1.0
"Дарение
",1.0
"Движение денежных средств
",1.0
"Двойное налогообложение
",1.0
"Де-факто
",1.0
"Дебет
",1.0
"Дебетовое сальдо
",1.0
"Дебитор
",1.0
"Дебиторская задолженность
",1.0
"Девальвация
",1.0
"Декларант
",1.0
"Декларация
",1.0
"Делькредере
",1.0
"Демпинг
",1.0
"Демпинг товарный
",1.0
"Денежная система
",1.0
"Денежные знаки
",1.0
"Деньги
",1.0
"Депозит
",1.0
"Депозитарий
",1.0
"Депонент
",1.0
"Дефицит бюджетный
",1.0
"Дефлятор
",1.0
"Дивиденд
",1.0
"Дилер
",1.0
"Дистрибьютор
",1.0
"Доверенность
",1.0
"Договор в пользу третьего лица
",1.0
"Договор найма жилого помещения
",1.0
"Должник
",1.0
"Доминирующее положение на рынке
",1.0
"Допустимый предел колебаний цен
",1.0
"Дорожные чеки
",1.0
"Досудебная санация
",1.0
"Доходы
",1.0
"Евро
",1.0
"Евровалюта
",1.0
"Евродоллары
",1.0
"Еврокард
",1.0
"Еврорынок
",1.0
"Емкость рынка
",1.0
"Жизненный цикл товара
",1.0
"Жиро
",1.0
"Жирочеки
",1.0
"Давальческое сырье
",1.0
"Давность исковая
",1.0
"Дарение
",1.0
"Движение денежных средств
",1.0
"Двойное налогообложение
",1.0
"Де-факто
",1.0
"Дебет
",1.0
"Дебетовое сальдо
",1.0
"Дебитор
",1.0
"Дебиторская задолженность
",1.0
"Девальвация
",1.0
"Декларант
",1.0
"Декларация
",1.0
"Делькредере
",1.0
"Демпинг
",1.0
"Демпинг товарный
",1.0
"Денежная система
",1.0
"Денежные знаки
",1.0
"Деньги
",1.0
"Депозит
",1.0
"Депозитарий
",1.0
"Депонент
",1.0
"Дефицит бюджетный
",1.0
"Дефлятор
",1.0
"Дивиденд
",1.0
"Дилер
",1.0
"Дистрибьютор
",1.0
"Доверенность
",1.0
"Договор в пользу третьего лица
",1.0
"Договор найма жилого помещения
",1.0
"Должник
",1.0
"Доминирующее положение на рынке
",1.0
"Допустимый предел колебаний цен
",1.0
"Дорожные чеки
",1.0
"Досудебная санация
",1.0
"Доходы
",1.0
"Забалансовый счет
",1.0
"Забастовка
",1.0
"Завещание
",1.0
"Завещательный отказ
",1.0
"Задаток
",1.0
"Задолженность кредиторская
",1.0
"Заем
",1.0
"Закладная
",1.0
"Заключение аудиторское
",1.0
"Закон
",1.0
"Законный представитель
",1.0
"Законодательство
",1.0
"Закрытое акционерное общество
",1.0
"Залог
",1.0
"Запасы товарные
",1.0
"Запись двойная
",1.0
"Заработная плата
",1.0
"Затраты косвенные
",1.0
"Затраты прямые
",1.0
"Земельный кадастр
",1.0
"Землепользователи
",1.0
"Знак обслуживания
",1.0
"Знак соответствия
",1.0
"Золотой запас
",1.0
"Зона свободного предпринимательства
",1.0
"Издержки обращения
",1.0
"Издержки производства
",1.0
"Импорт
",1.0
"Импортная квота
",1.0
"Имущественные права
",1.0
"Инвалидность
",1.0
"Инвестиции
",1.0
"Инвестиционная деятельность
",1.0
"Индекс акций
",1.0
"Индексация
",1.0
"Индоссамент
",1.0
"Индоссант (жирант)
",1.0
"Инкассо
",1.0
"Инкотермс
",1.0
"Инновация
",1.0
"Иностранная валюта
",1.0
"Иностранные граждане
",1.0
"Интеллектуальная собственность
",1.0
"Инфляция
",1.0
"Ипотека
",1.0
"Иск
",1.0
"Исполнение обязательств
",1.0
"Исполнительные документы
",1.0
"Истец
",1.0
"Каботаж
",1.0
"Кадастр земельный
",1.0
"Калькуляция
",1.0
"Капитал уставный
",1.0
"Карантинный сертификат
",1.0
"Картель
",1.0
"Карточка дебетовая
",1.0
"Карточка кредитная
",1.0
"Каско
",1.0
"Кассационная жалоба
",1.0
"Кассация
",1.0
"Кворум
",1.0
"Квота
",1.0
"Квотирование
",1.0
"Клиринг
",1.0
"Книга главная
",1.0
"Кодекс
",1.0
"Коллективный договор
",1.0
"Командировка
",1.0
"Комитент
",1.0
"Коммандитное товарищество
",1.0
"Коммерческая тайна
",1.0
"Компенсация
",1.0
"Конверсия
",1.0
"Конкуренция
",1.0
"Конкурсная масса
",1.0
"Конкурсное производство
",1.0
"Конкурсные кредиторы
",1.0
"Коносамент
",1.0
"Консалтинг
",1.0
"Контрагент
",1.0
"Контракт
",1.0
"Контрактация
",1.0
"Контрафактный экземпляр
",1.0
"Контрольный пакет акций
",1.0
"Конфискация
",1.0
"Копирайт
",1.0
"Копия заверенная
",1.0
"Корзина потребительская
",1.0
"Кредиторы
",1.0
"Кумулятивное голосование
",1.0
"Легализация
",1.0
"Легитимность
",1.0
"Лжепредпринимательство
",1.0
"Либор
",1.0
"Лизинг
",1.0
"Лизинг финансовый
",1.0
"Ликвидационная комиссия
",1.0
"Ликвидационный баланс
",1.0
"Ликвидность фирмы
",1.0
"Лица без гражданства (апатриды)
",1.0
"Лицензиат
",1.0
"Лицензионное соглашение
",1.0
"Лицензионный сбор
",1.0
"Лицензия
",1.0
"Лицо должностное
",1.0
"Личные неимущественные права
",1.0
"Магазин беспошлинной торговли
",1.0
"Маклер
",1.0
"Малое предприятие
",1.0
"Маржа
",1.0
"Маркетинг
",1.0
"Мемориальный ордер
",1.0
"Мена
",1.0
"Мерчандайзинг
",1.0
"Место жительства
",1.0
"Метод лифо
",1.0
"Метод фифо
",1.0
"Минимальный размер оплаты труда
",1.0
"Мировое соглашение
",1.0
"Монополистическая деятельность
",1.0
"Моральный вред
",1.0
"Мораторий
",1.0
"Накладная (товарная накладная)
",1.0
"Накладные расходы
",1.0
"Налоговая система
",1.0
"Налоговая ставка
",1.0
"Налоговое правонарушение
",1.0
"Налоговые агенты
",1.0
"Налогоплательщики
",1.0
"Наценка (доплата)
",1.0
"Негаторный иск
",1.0
"Недобросовестная конкуренция
",1.0
"Недобросовестная реклама
",1.0
"Недоимка
",1.0
"Ненормированный рабочий день
",1.0
"Неполное рабочее время
",1.0
"Непреодолимая сила
",1.0
"Нерезиденты
",1.0
"Несчастный случай на производстве
",1.0
"Нетрудоспособность
",1.0
"Неустойка
",1.0
"Новация
",1.0
"Норма прибыли
",1.0
"Нормативный акт
",1.0
"Ностро счета
",1.0
"Нотариус
",1.0
"Обеспечение иска
",1.0
"Обеспечение исполнения обязательств
",1.0
"Облигация
",1.0
"Обогащение неосновательное
",1.0
"Оборот
",1.0
"Оборот по счетам
",1.0
"Оборотная ведомость
",1.0
"Обратная сила закона
",1.0
"Обращение взыскания на имущество
",1.0
"Обременение имущества
",1.0
"Обстоятельства форс-мажорные
",1.0
"Общая собственность
",1.0
"Общее собрание акционеров
",1.0
"Объект авторского права
",1.0
"Обязательство
",1.0
"Обязательство долговое
",1.0
"Овердрафт
",1.0
"Оговорка
",1.0
"Опека
",1.0
"Оперативное управление
",1.0
"Опись имущества
",1.0
"Опцион
",1.0
"Ордер
",1.0
"Основные фонды
",1.0
"Ответственность солидарная
",1.0
"Ответственность субсидиарная
",1.0
"Ответчик
",1.0
"Открытое акционерное общество
",1.0
"Откуп
",1.0
"Отступное
",1.0
"Отчисления амортизационные
",1.0
"Отчуждение (имущества)
",1.0
"Оферта
",1.0
"Официальный язык
",1.0
"Охрана труда
",1.0
"Пай
",1.0
"Пакет акций контрольный
",1.0
"Палата нотариальная
",1.0
"Пассив
",1.0
"Патент
",1.0
"Пенсионные фонды (негосударственные)
",1.0
"Пеня
",1.0
"Перевод денежный
",1.0
"Перевод долга
",1.0
"Перестрахование
",1.0
"Плата арендная
",1.0
"Платеж паушальный
",1.0
"Платежное поручение
",1.0
"Поверенный
",1.0
"Подзаконный акт
",1.0
"Подлог документов
",1.0
"Полис страховой
",1.0
"Портфель инвестиционный
",1.0
"Поручение
",1.0
"Поручительство
",1.0
"Пособие по временной нетрудоспособности
",1.0
"Пошлина
",1.0
"Предприятие унитарное
",1.0
"Претензия
",1.0
"Преференции
",1.0
"Прибыль нераспределенная
",1.0
"Принципал
",1.0
"Проводка бухгалтерская
",1.0
"Пролонгация
",1.0
"Протест векселя
",1.0
"Работа сверхурочная
",1.0
"Рабочее время (как правовое понятие)
",1.0
"Раздел имущества
",1.0
"Разница курсовая
",1.0
"Разряд тарифный
",1.0
"Расписка
",1.0
"Распределение прибыли
",1.0
"Рассрочка (в гражданском праве рассрочка платежа)
",1.0
"Расчетные документы
",1.0
"Ратификация
",1.0
"Револьверный кредит
",1.0
"Регистр
",1.0
"Регистратор специализированный
",1.0
"Резиденты
",1.0
"Реимпорт
",1.0
"Реклама недостоверная
",1.0
"Реклама скрытая
",1.0
"Рекламация
",1.0
"Рента
",1.0
"Рента пожизненная
",1.0
"Рентабельность
",1.0
"Реституция (в гражданском праве)
",1.0
"Реструктуризация
",1.0
"Реторсии
",1.0
"Реципиент
",1.0
"Реэкспорт
",1.0
"Сверхурочная работа
",1.0
"Свобода договора
",1.0
"Сделка мнимая
",1.0
"Сделка односторонняя
",1.0
"Сделка оспоримая
",1.0
"Себестоимость
",1.0
"Сегмент рынка
",1.0
"Секвестр
",1.0
"Сертификат
",1.0
"Сертификат соответствия
",1.0
"Сертификация
",1.0
"Скидка
",1.0
"Смета
",1.0
"Соавторство
",1.0
"Соарендатор
",1.0
"Собрание акционеров общее
",1.0
"Собственность доверительная
",1.0
"Собственность крестьянского (фермерского) хозяйства
",1.0
"Совет директоров
",1.0
"Совет наблюдательный
",1.0
"Совместительство
",1.0
"Соглашение арбитражное
",1.0
"Соглашение мировое
",1.0
"Соединение исков
",1.0
"Сострахование
",1.0
"Социальное обеспечение
",1.0
"Социальное страхование
",1.0
"Списание долга
",1.0
"Спрос
",1.0
"Срок амортизационный
",1.0
"Срок годности
",1.0
"Ссуда
",1.0
"Ставка рефинансирования
",1.0
"Стаж трудовой
",1.0
"Стандарт
",1.0
"Стандартизация
",1.0
"Страховой случай
",1.0
"Страховщик
",1.0
"Субаренда
",1.0
"Счет бухгалтерского учета
",1.0
"Счет фактура
",1.0
"Сырье давальческое
",1.0
"Тайна вкладов
",1.0
"Таможенная декларация
",1.0
"Таможенные пошлины
",1.0
"Таможенные сборы
",1.0
"Таможенный перевозчик
",1.0
"Таможенный склад
",1.0
"Тантьема
",1.0
"Тара
",1.0
"Тарификация
",1.0
"Текущие расходы
",1.0
"Тендер
",1.0
"Товарищество на вере (коммандитное товарищество)
",1.0
"Товарищество собственников жилья
",1.0
"Товарный знак
",1.0
"Толлинг
",1.0
"Торги закрытые
",1.0
"Торги открытые
",1.0
"Трансакция
",1.0
"Транспортная накладная
",1.0
"Трансфер (перевод)
",1.0
"Трассант
",1.0
"Трассат
",1.0
"Траст
",1.0
"Тратта
",1.0
"Третейский суд
",1.0
"Третьи лица
",1.0
"Трудовая книжка
",1.0
"Трудовые отношения
",1.0
"Трудовые споры
",1.0
"Трудоспособность
",1.0
"Трудоустройство
",1.0
"Убыток
",1.0
"Увольнение с работы
",1.0
"Удержания из заработной платы
",1.0
"Удовлетворение требований кредиторов
",1.0
"Унитарное предприятие
",1.0
"Управляющая компания
",1.0
"Упущенная выгода
",1.0
"Устав
",1.0
"Установление фактов, имеющих юридическое значение
",1.0
"Уступка требования (цессия)
",1.0
"Учетная политика организации
",1.0
"Учредительные документы юридического лица
",1.0
"Учреждение
",1.0
"Ущерб имущественный
",1.0
"Факторинг
",1.0
"Факты юридические
",1.0
"Фиксированная рента
",1.0
"Филиал
",1.0
"Финансирование
",1.0
"Фонд
",1.0
"Фонды внебюджетные
",1.0
"Форвардная сделка
",1.0
"Форфейтинг
",1.0
"Франко
",1.0
"Франчайзинг
",1.0
"Фрахт
",1.0
"Фьючерс
",1.0
"Хайринг
",1.0
"Хедж
",1.0
"Хеджирование
",1.0
"Ходатайство
",1.0
"Хозяйственные товарищества и общества
",1.0
"Хозяйственный договор
",1.0
"Хозяйствующий субъект
",1.0
"Холдинг
",1.0
"Холдинговая компания
",1.0
"Хранение
",1.0
"Цедент
",1.0
"Цена
",1.0
"Цена договорная
",1.0
"Цена иска (по требованиям, заявленным в арбитражном суде)
",1.0
"Цена покупателя
",1.0
"Цена продавца
",1.0
"Цена эмиссии
",1.0
"Ценная бумага
",1.0
"Цессионарий
",1.0
"Цессия
",1.0
"Чартист
",1.0
"Частная охранная деятельность
",1.0
"Чек
",1.0
"Шаг аукциона
",1.0
"Штраф административный
",1.0
"Эвикция
",1.0
"Эккаунтинг
",1.0
"Эксперт
",1.0
"Экспорт
",1.0
"Экспорт капиталов
",1.0
"Экспортная квота
",1.0
"Экспортная лицензия
",1.0
"Эмбарго
",1.0
"Эмиссионная прибыль
",1.0
"Эмиссионный проспект
",1.0
"Эмиссия ценных бумаг
",1.0
"Эмитент
",1.0
"Юридическое лицо
",1.0
"Юрисдикция
",1.0
"Юстиция
",1.0